trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,16,10.088961729020095,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,4,-3.0770432896028446,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,0,-43.2051994499218,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,19,7.3164713766115845,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,0,16.889989656176233,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,11,23.72931092952706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,6,20.12422360994123,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,17.142775491304548,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,0,7.69276790954577,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,6,-21.043185988150277,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,27.00090121014718,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,5,24.079317934284095,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,9,-6.091931708477679,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,4,-18.92892608232853,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",30,0,-17.19869590203233,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,14,-1.9004457352301924,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,8,-51.015992440709496,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,0,27.071938898437317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",30,17,19.26685122658865,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,7,-0.6501067612733329,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
